image_link,description,subcategory_title,category_title,english_description,english_subcategory,image_filename
https://kamondb.com/wp/wp-content/uploads/2019/09/9-1.gif,徳川葵,葵 | あおい,plant,Aoi Tokugawa,aoi,plant_aoi_0.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/2-1.gif,剣三つ葵,葵 | あおい,plant,sword three Aoi,aoi,plant_aoi_1.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/3.gif,立ち葵,葵 | あおい,plant,standing hollyhock,aoi,plant_aoi_2.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/4.gif,丸に立ち葵,葵 | あおい,plant,Aoi standing in a circle,aoi,plant_aoi_3.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/5.gif,水に立ち葵,葵 | あおい,plant,Aoi standing in the water,aoi,plant_aoi_4.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/6.gif,剣に二つ葵,葵 | あおい,plant,Two Aoi on the Sword,aoi,plant_aoi_5.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/7.gif,二葉葵,葵 | あおい,plant,Aoi Futaba,aoi,plant_aoi_6.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/8.gif,丸に左離れ立ち葵,葵 | あおい,plant,Aoi standing left in a circle,aoi,plant_aoi_7.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/1.gif,尻合わせ三つ葵,葵 | あおい,plant,Buttocks together Mitsu Aoi,aoi,plant_aoi_8.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/10.gif,左離れ立ち葵,葵 | あおい,plant,Aoi standing away from the left,aoi,plant_aoi_9.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/11.gif,蔓三つ葵,葵 | あおい,plant,Aoi vines,aoi,plant_aoi_10.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/12.gif,三つ割り葵,葵 | あおい,plant,Three-split hollyhock,aoi,plant_aoi_11.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/13.gif,二つ蔓葵の丸,葵 | あおい,plant,Two Aoi no Maru,aoi,plant_aoi_12.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/14.gif,三つ蔓葵の丸,葵 | あおい,plant,Three Aoi no Maru,aoi,plant_aoi_13.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/15.gif,変わり蔓三つ葵,葵 | あおい,plant,Aoi with three different vines,aoi,plant_aoi_14.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/16-1.gif,総陰丸に三つ葵,葵 | あおい,plant,Three hollyhock in total shade circle,aoi,plant_aoi_15.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/17.gif,中陰丸に三つ葵,葵 | あおい,plant,Three Aoi in Chuinmaru,aoi,plant_aoi_16.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/18.gif,花付き三つ割り葵,葵 | あおい,plant,Aoi hollyhock with flowers,aoi,plant_aoi_17.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon006.jpg,蔓葵片喰,葵 | あおい,plant,vine hollyhock,aoi,plant_aoi_18.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002.jpg,陰尻合わせ三つ葵,葵 | あおい,plant,Pussy buttocks together three Aoi,aoi,plant_aoi_19.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon003.jpg,花付き割り葵,葵 | あおい,plant,hollyhocks with flowers,aoi,plant_aoi_20.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon004.jpg,中陰尻合わせ三つ葵,葵 | あおい,plant,Three Aoi with middle genitals and buttocks,aoi,plant_aoi_21.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon005.jpg,入れ違い割り葵,葵 | あおい,plant,Misplaced hollyhock,aoi,plant_aoi_22.jpg
https://kamondb.com/wp/wp-content/uploads/2019/09/1-1.gif,麻の葉,麻｜あさ,plant,hemp leaf,hemp_asa,plant_hemp_asa_6.jpg
