image_link,description,subcategory_title,category_title,English_Description,English_Subcategory_Title,English_Subcategory
https://kamondb.com/wp/wp-content/uploads/2019/09/9-1.gif,徳川葵,葵 | あおい,plant,Aoi Tokugawa,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/2-1.gif,剣三つ葵,葵 | あおい,plant,sword three Aoi,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/3.gif,立ち葵,葵 | あおい,plant,standing hollyhock,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/4.gif,丸に立ち葵,葵 | あおい,plant,Aoi standing in a circle,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/5.gif,水に立ち葵,葵 | あおい,plant,Aoi standing in the water,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/6.gif,剣に二つ葵,葵 | あおい,plant,Two Aoi on the Sword,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/7.gif,二葉葵,葵 | あおい,plant,Aoi Futaba,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/8.gif,丸に左離れ立ち葵,葵 | あおい,plant,Aoi standing left in a circle,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/1.gif,尻合わせ三つ葵,葵 | あおい,plant,Buttocks together Mitsu Aoi,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/10.gif,左離れ立ち葵,葵 | あおい,plant,Aoi standing away from the left,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/11.gif,蔓三つ葵,葵 | あおい,plant,Aoi vines,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/12.gif,三つ割り葵,葵 | あおい,plant,Three-split hollyhock,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/13.gif,二つ蔓葵の丸,葵 | あおい,plant,Two Aoi no Maru,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/14.gif,三つ蔓葵の丸,葵 | あおい,plant,Three Aoi no Maru,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/15.gif,変わり蔓三つ葵,葵 | あおい,plant,Aoi with three different vines,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/16-1.gif,総陰丸に三つ葵,葵 | あおい,plant,Three hollyhock in total shade circle,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/17.gif,中陰丸に三つ葵,葵 | あおい,plant,Three Aoi in Chuinmaru,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/18.gif,花付き三つ割り葵,葵 | あおい,plant,Aoi hollyhock with flowers,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon006.jpg,蔓葵片喰,葵 | あおい,plant,vine hollyhock,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002.jpg,陰尻合わせ三つ葵,葵 | あおい,plant,Pussy buttocks together three Aoi,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon003.jpg,花付き割り葵,葵 | あおい,plant,hollyhocks with flowers,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon004.jpg,中陰尻合わせ三つ葵,葵 | あおい,plant,Three Aoi with middle genitals and buttocks,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon005.jpg,入れ違い割り葵,葵 | あおい,plant,Misplaced hollyhock,Aoi | Aoi,Aoi | Aoi
https://kamondb.com/wp/wp-content/uploads/2019/09/1-1.gif,麻の葉,麻｜あさ,plant,hemp leaf,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/2-2.gif,丸に麻の葉,麻｜あさ,plant,Hemp leaves in a circle,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/3-1.gif,陰麻の葉,麻｜あさ,plant,Yinma leaves,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/4-1.gif,三つ割り麻の葉,麻｜あさ,plant,three-split hemp leaf,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/5-1.gif,外三つ割り麻の葉,麻｜あさ,plant,hemp leaf split into three outer parts,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon001.jpg,麻の葉車,麻｜あさ,plant,hemp leaf car,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002-1.jpg,真麻崩し,麻｜あさ,plant,mama koshi,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon003-1.jpg,陰陽麻の葉,麻｜あさ,plant,Yin Yang hemp leaf,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon004-1.jpg,丸に麻の葉桐,麻｜あさ,plant,Paulownia with hemp leaves in a circle,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon005-1.jpg,向こう真麻の葉,麻｜あさ,plant,The other side of the masa leaf,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon007.jpg,細麻の葉,麻｜あさ,plant,hemp leaves,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon008.jpg,丸に真麻の葉,麻｜あさ,plant,Hemp leaves in a circle,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon009.jpg,麻の花,麻｜あさ,plant,hemp flower,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon010.jpg,三つ麻の葉,麻｜あさ,plant,Three hemp leaves,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon011.jpg,麻の葉桔梗,麻｜あさ,plant,Asanoha Kikyo,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon012.jpg,糸輪に豆麻の葉,麻｜あさ,plant,Soybean leaves on thread ring,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon006-1.jpg,雪輪に麻の葉,麻｜あさ,plant,Hemp leaves on a snow ring,Hemp｜Asa,Hemp｜Asa
https://kamondb.com/wp/wp-content/uploads/2019/09/1-2.gif,中輪に一つ朝顔,朝顔｜あさがお,plant,One morning glory in the middle ring,Morning glory | Morning glory,Morning glory | Morning glory
https://kamondb.com/wp/wp-content/uploads/2019/09/2-3.gif,五つ朝顔,朝顔｜あさがお,plant,five morning glories,Morning glory | Morning glory,Morning glory | Morning glory
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon001-1.jpg,細輪に六つ朝顔,朝顔｜あさがお,plant,Six morning glories in a thin ring,Morning glory | Morning glory,Morning glory | Morning glory
https://kamondb.com/wp/wp-content/uploads/2019/09/kamon002-2.jpg,朝顔枝丸,朝顔｜あさがお,plant,Asagao Edamaru,Morning glory | Morning glory,Morning glory | Morning glory
https://kamondb.com/wp/wp-content/uploads/2019/10/1-1.gif,違い葦の葉,葦｜あし,plant,difference reed leaves,Reed | Ashi,Reed | Ashi
https://kamondb.com/wp/wp-content/uploads/2019/10/2-1.gif,割り抱き葦,葦｜あし,plant,split reed,Reed | Ashi,Reed | Ashi
https://kamondb.com/wp/wp-content/uploads/2019/10/3-1.gif,抱き葦,葦｜あし,plant,hugging reed,Reed | Ashi,Reed | Ashi
https://kamondb.com/wp/wp-content/uploads/2019/10/4-1.gif,変わり抱き葦,葦｜あし,plant,changing reed,Reed | Ashi,Reed | Ashi
https://kamondb.com/wp/wp-content/uploads/2019/09/1-3.gif,丸に菖蒲革,菖蒲｜あやめ,plant,Iris leather in the circle,Ayame | Ayame,Ayame | Ayame
https://kamondb.com/wp/wp-content/uploads/2019/09/2-4.gif,糸輪に菖蒲革,菖蒲｜あやめ,plant,Iris leather on thread ring,Ayame | Ayame,Ayame | Ayame
https://kamondb.com/wp/wp-content/uploads/2019/10/1-2.gif,いたどり,虎杖｜いたどり,plant,Itadori,Kojo | Itatori,Kojo | Itatori
https://kamondb.com/wp/wp-content/uploads/2019/10/2-2.gif,三つ銀杏,銀杏｜いちょう,plant,three ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/1-3.gif,中輪に三つ銀杏,銀杏｜いちょう,plant,Three ginkgos in the middle ring,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/3-2.gif,中輪に一つ銀杏,銀杏｜いちょう,plant,One ginkgo in the middle ring,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/4-2.gif,丸に剣三つ銀杏,銀杏｜いちょう,plant,Three swords ginkgo in a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/5-1.gif,五つ銀杏,銀杏｜いちょう,plant,five ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/6-1.gif,三つ組み銀杏,銀杏｜いちょう,plant,triple ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/7-1.gif,三つ軸違い銀杏,銀杏｜いちょう,plant,Ginkgo with three different axes,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/8-1.gif,抱き銀杏,銀杏｜いちょう,plant,Dakimakura ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/9-1.gif,向かい銀杏,銀杏｜いちょう,plant,Ginkgo opposite,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/21-1.gif,三つ割り銀杏,銀杏｜いちょう,plant,Three-split ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/13-1.gif,丸に抱き銀杏,銀杏｜いちょう,plant,Ginkgo in a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/12-1.gif,丸に三つ銀杏,銀杏｜いちょう,plant,Three ginkgos in a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/15-1.gif,三つ追い銀杏,銀杏｜いちょう,plant,Three ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/22-1.gif,入れ違い割り銀杏,銀杏｜いちょう,plant,Misplaced ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/16-1.gif,頭合わせ三つ銀杏,銀杏｜いちょう,plant,Three ginkgo nuts together,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/11-1.gif,菱に三つ銀杏,銀杏｜いちょう,plant,Three ginkgos on a diamond,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/19-1.gif,二つ銀杏菱,銀杏｜いちょう,plant,Two ginkgo rhombuses,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/10-1.gif,二つ違い銀杏,銀杏｜いちょう,plant,Two different ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/25-1.gif,銀杏鶴,銀杏｜いちょう,plant,ginkgo crane,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/17-1.gif,三つ銀杏菱,銀杏｜いちょう,plant,three ginkgo rhombuses,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/18-1.gif,変わり対い銀杏菱,銀杏｜いちょう,plant,Ginkgo diamond,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon004.jpg,銀杏鶴2,銀杏｜いちょう,plant,Ginkgo crane 2,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/20-1.gif,対い銀杏菱,銀杏｜いちょう,plant,Opposite ginkgo diamond,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon039.jpg,違い銀杏,銀杏｜いちょう,plant,difference ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon008.jpg,三つ割り追い銀杏に花菱,銀杏｜いちょう,plant,Hanabishi on three-split ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/23-1.gif,六角三つ銀杏,銀杏｜いちょう,plant,hexagonal three ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/24-1.gif,銀杏揚羽蝶,銀杏｜いちょう,plant,Ginkgo butterfly,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/26-1.gif,四つ銀杏,銀杏｜いちょう,plant,Four ginkgo nuts,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon018.jpg,糸輪に豆三つ銀杏,銀杏｜いちょう,plant,Three ginkgo nuts on a thread ring,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/27-1.gif,一つ銀杏巴,銀杏｜いちょう,plant,One ginkgo tomoe,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon040.jpg,一つ巴銀杏,銀杏｜いちょう,plant,One tomoe ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon032.jpg,変わり組み合わせ三つ銀杏,銀杏｜いちょう,plant,Unusual combination of three ginkgos,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon041.jpg,陰の三つ銀杏,銀杏｜いちょう,plant,Three ginkgo trees in the shade,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon001.jpg,丸に変わり一つ銀杏,銀杏｜いちょう,plant,One ginkgo instead of a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon043.jpg,丸に重ね銀杏,銀杏｜いちょう,plant,Ginkgo nuts stacked in a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon042.jpg,丸に銀杏鶴,銀杏｜いちょう,plant,Ginkgo crane in a circle,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon002.jpg,銀杏枝丸,銀杏｜いちょう,plant,Ginkgo Emaru,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon003.jpg,銀杏守,銀杏｜いちょう,plant,Ginkgo Guardian,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/14-1.gif,石持ち地抜き三つ銀杏,銀杏｜いちょう,plant,Three ginkgos without stone,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon013.jpg,三つ追い銀杏に片喰,銀杏｜いちょう,plant,Three ginkgo and one bite,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon006.jpg,五つ追い銀杏に花菱,銀杏｜いちょう,plant,Hanabishi on five chasing ginkgo,Ginkgo | Ginkgo,Ginkgo | Ginkgo
https://kamondb.com/wp/wp-content/uploads/2019/10/kamon007.jpg,三つ割り重ね銀杏,銀杏｜いちょう,plant,Ginkgo biscuit,Ginkgo | Ginkgo,Ginkgo | Ginkgo
